tree_id,block_id,spc_latin,spc_common,address1,address2,address3,address4,nta_name,latitude,longitude,x_sp,y_sp
140801,111816,Ginkgo biloba,ginkgo,31,CENTRAL,PARK,NORTH,Central Harlem South,40.79742445,-73.95072824,997892.1479,229804.0408
140800,111816,Ginkgo biloba,ginkgo,31,CENTRAL,PARK,NORTH,Central Harlem South,40.79743379,-73.95082099,997866.4655,229807.4289
140798,111816,Ginkgo biloba,ginkgo,31,CENTRAL,PARK,NORTH,Central Harlem South,40.79749632,-73.95096906,997825.4574,229830.1874
140797,111816,Ginkgo biloba,ginkgo,31,CENTRAL,PARK,NORTH,Central Harlem South,40.79755525,-73.95103795,997806.3718,229851.6443
148516,108986,Gleditsia triacanthos var. inermis,honeylocust,35,CENTRAL,PARK,NORTH,Central Harlem South,40.79781568,-73.951286,997737.638,229946.4903
148515,108986,Gleditsia triacanthos var. inermis,honeylocust,35,CENTRAL,PARK,NORTH,Central Harlem South,40.79776222,-73.95115982,997772.5868,229927.033
140792,111816,Ginkgo biloba,ginkgo,35,CENTRAL,PARK,NORTH,Central Harlem South,40.79769444,-73.95143819,997695.5259,229902.2965
148514,108986,Ginkgo biloba,ginkgo,35,CENTRAL,PARK,NORTH,Central Harlem South,40.79773482,-73.95109515,997790.4978,229917.0609
140794,111816,Ginkgo biloba,ginkgo,35,CENTRAL,PARK,NORTH,Central Harlem South,40.79762738,-73.95127939,997739.5068,229877.8881
148517,108986,Ginkgo biloba,ginkgo,35,CENTRAL,PARK,NORTH,Central Harlem South,40.79785096,-73.95136929,997714.5721,229959.3321
140793,111816,Ginkgo biloba,ginkgo,35,CENTRAL,PARK,NORTH,Central Harlem South,40.7976831,-73.9513407,997722.5196,229898.1807
140795,111816,Ginkgo biloba,ginkgo,35,CENTRAL,PARK,NORTH,Central Harlem South,40.79762204,-73.95119611,997762.5658,229875.9557
148519,108986,Gleditsia triacanthos var. inermis,honeylocust,45,CENTRAL,PARK,NORTH,Central Harlem South,40.79792219,-73.95153743,997668.003,229985.2596
148518,108986,Ginkgo biloba,ginkgo,45,CENTRAL,PARK,NORTH,Central Harlem South,40.79788638,-73.95145289,997691.4186,229972.2232
140791,111816,Ginkgo biloba,ginkgo,45,CENTRAL,PARK,NORTH,Central Harlem South,40.7977479,-73.95149414,997680.0253,229921.764
140787,111816,Ginkgo biloba,ginkgo,45,CENTRAL,PARK,NORTH,Central Harlem South,40.79787989,-73.95180668,997593.4625,229969.8045
140788,111816,Ginkgo biloba,ginkgo,45,CENTRAL,PARK,NORTH,Central Harlem South,40.79782376,-73.95174442,997610.7118,229949.3663
140789,111816,Ginkgo biloba,ginkgo,45,CENTRAL,PARK,NORTH,Central Harlem South,40.79781563,-73.95165451,997635.6074,229946.4148
140790,111816,Ginkgo biloba,ginkgo,45,CENTRAL,PARK,NORTH,Central Harlem South,40.7977595,-73.95159225,997652.8564,229925.9772
140786,111816,Ginkgo biloba,ginkgo,45,CENTRAL,PARK,NORTH,Central Harlem South,40.79788816,-73.95189691,997568.4796,229972.8042
